2026-01-18 at 22:58:09 | SUCCESS | Вебхук установлен: https://yrefpj-2a03-d000-15f8-5e5a-d4c8-81d4-79f1-8482.ru.tuna.am/webhook
2026-01-18 at 22:58:15 | INFO | Получен запрос с вебхука.
2026-01-18 at 22:58:15 | INFO | Поиск всех записей Booking по фильтрам: {'user_id': 811370822}
2026-01-18 at 22:58:15 | INFO | Найдено 0 записей.
2026-01-18 at 22:58:17 | INFO | Обновление успешно обработано.
2026-01-18 at 22:58:17 | INFO | Получен запрос с вебхука.
2026-01-18 at 22:58:17 | INFO | Обновление успешно обработано.
2026-01-18 at 22:58:22 | INFO | Получен запрос с вебхука.
2026-01-18 at 22:58:22 | INFO | Запись User с ID 811370822 не найдена.
2026-01-18 at 22:58:22 | INFO | Добавление записи User с параметрами: {'id': 811370822, 'username': 'Nekketsu4', 'first_name': 'QJ', 'last_name': None}
2026-01-18 at 22:58:22 | INFO | Запись User успешно добавлена.
2026-01-18 at 22:58:22 | INFO | Обновление успешно обработано.
2026-01-18 at 23:00:14 | INFO | Бот остановлен...
2026-01-18 at 23:00:15 | ERROR | Бот остановлен!
2026-01-18 at 23:02:30 | INFO | Бот запущен...
2026-01-18 at 23:02:30 | INFO | Добавление нескольких записей Table. Количество: 10
2026-01-18 at 23:02:30 | INFO | Успешно добавлено 10 записей.
2026-01-18 at 23:02:30 | INFO | Добавление нескольких записей TimeSlot. Количество: 9
2026-01-18 at 23:02:30 | INFO | Успешно добавлено 9 записей.
2026-01-18 at 23:02:31 | INFO | Бот успешно запущен
2026-01-18 at 23:02:31 | SUCCESS | Вебхук установлен: https://yrefpj-2a03-d000-15f8-5e5a-d4c8-81d4-79f1-8482.ru.tuna.am/webhook
2026-01-18 at 23:02:58 | INFO | Получен запрос с вебхука.
2026-01-18 at 23:03:00 | INFO | Поиск всех записей Booking по фильтрам: {'user_id': 811370822}
2026-01-18 at 23:03:00 | INFO | Найдено 0 записей.
2026-01-18 at 23:03:01 | INFO | Обновление успешно обработано.
2026-01-18 at 23:03:03 | INFO | Получен запрос с вебхука.
2026-01-18 at 23:03:04 | INFO | Обновление успешно обработано.
2026-01-18 at 23:03:42 | INFO | Бот остановлен...
2026-01-18 at 23:03:42 | ERROR | Бот остановлен!
2026-01-18 at 23:03:55 | INFO | Бот запущен...
2026-01-18 at 23:03:55 | INFO | Добавление нескольких записей Table. Количество: 10
2026-01-18 at 23:03:55 | INFO | Успешно добавлено 10 записей.
2026-01-18 at 23:03:55 | INFO | Добавление нескольких записей TimeSlot. Количество: 9
2026-01-18 at 23:03:55 | INFO | Успешно добавлено 9 записей.
2026-01-18 at 23:03:57 | INFO | Бот успешно запущен
2026-01-18 at 23:03:57 | SUCCESS | Вебхук установлен: https://yrefpj-2a03-d000-15f8-5e5a-d4c8-81d4-79f1-8482.ru.tuna.am/webhook
2026-01-18 at 23:04:00 | INFO | Получен запрос с вебхука.
2026-01-18 at 23:04:00 | INFO | Поиск всех записей Booking по фильтрам: {'user_id': 811370822}
2026-01-18 at 23:04:00 | INFO | Найдено 0 записей.
2026-01-18 at 23:04:01 | INFO | Обновление успешно обработано.
2026-01-18 at 23:04:02 | INFO | Получен запрос с вебхука.
2026-01-18 at 23:04:03 | INFO | Обновление успешно обработано.
2026-01-18 at 23:05:38 | INFO | Бот остановлен...
2026-01-18 at 23:05:40 | ERROR | Бот остановлен!
2026-01-18 at 23:05:49 | INFO | Бот запущен...
2026-01-18 at 23:05:49 | INFO | Добавление нескольких записей Table. Количество: 10
2026-01-18 at 23:05:49 | INFO | Успешно добавлено 10 записей.
2026-01-18 at 23:05:49 | INFO | Добавление нескольких записей TimeSlot. Количество: 9
2026-01-18 at 23:05:49 | INFO | Успешно добавлено 9 записей.
2026-01-18 at 23:05:56 | INFO | Бот успешно запущен
2026-01-18 at 23:05:56 | SUCCESS | Вебхук установлен: https://yrefpj-2a03-d000-15f8-5e5a-d4c8-81d4-79f1-8482.ru.tuna.am/webhook
2026-01-18 at 23:05:59 | INFO | Получен запрос с вебхука.
2026-01-18 at 23:06:00 | INFO | Поиск всех записей Booking по фильтрам: {'user_id': 811370822}
2026-01-18 at 23:06:00 | INFO | Найдено 0 записей.
2026-01-18 at 23:06:01 | INFO | Обновление успешно обработано.
2026-01-18 at 23:06:02 | INFO | Получен запрос с вебхука.
2026-01-18 at 23:06:05 | INFO | Обновление успешно обработано.
2026-01-18 at 23:07:02 | INFO | Бот остановлен...
2026-01-18 at 23:07:03 | ERROR | Бот остановлен!
2026-01-18 at 23:07:31 | INFO | Бот запущен...
2026-01-18 at 23:07:31 | INFO | Добавление нескольких записей Table. Количество: 10
2026-01-18 at 23:07:31 | INFO | Успешно добавлено 10 записей.
2026-01-18 at 23:07:31 | INFO | Добавление нескольких записей TimeSlot. Количество: 9
2026-01-18 at 23:07:31 | INFO | Успешно добавлено 9 записей.
2026-01-18 at 23:07:32 | INFO | Бот успешно запущен
2026-01-18 at 23:07:32 | SUCCESS | Вебхук установлен: https://yrefpj-2a03-d000-15f8-5e5a-d4c8-81d4-79f1-8482.ru.tuna.am/webhook
2026-01-18 at 23:07:45 | INFO | Получен запрос с вебхука.
2026-01-18 at 23:07:45 | INFO | Запись User с ID 811370822 найдена.
2026-01-18 at 23:07:45 | INFO | Обновление успешно обработано.
2026-01-18 at 23:07:48 | INFO | Получен запрос с вебхука.
2026-01-18 at 23:07:48 | INFO | Обновление успешно обработано.
2026-01-18 at 23:07:53 | INFO | Получен запрос с вебхука.
2026-01-18 at 23:07:53 | INFO | Подсчет количества записей User по фильтру: {}
2026-01-18 at 23:07:53 | INFO | Найдено 1 записей.
2026-01-18 at 23:07:54 | INFO | Обновление успешно обработано.
2026-01-18 at 23:07:55 | INFO | Получен запрос с вебхука.
2026-01-18 at 23:07:56 | INFO | Обновление успешно обработано.
2026-01-18 at 23:07:58 | INFO | Получен запрос с вебхука.
2026-01-18 at 23:07:59 | INFO | Найдено 0 заявок со статусом 'booked'.
2026-01-18 at 23:07:59 | INFO | Найдено 0 заявок со статусом 'completed'.
2026-01-18 at 23:07:59 | INFO | Найдено 0 заявок со статусом 'canceled'.
2026-01-18 at 23:07:59 | INFO | Всего найдено 0 заявок.
2026-01-18 at 23:08:01 | INFO | Обновление успешно обработано.
2026-01-18 at 23:08:01 | INFO | Получен запрос с вебхука.
2026-01-18 at 23:08:02 | INFO | Обновление успешно обработано.
2026-01-18 at 23:08:28 | INFO | Бот остановлен...
2026-01-18 at 23:08:31 | ERROR | Бот остановлен!
